Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
112063,EDA GÜVENÇ,2001,Student performance assessment in higher education using data mining,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
104220,ALİ ALKAN,2001,Predictive data mining with neural networks and genetic algorithms,İstanbul Teknik Üniversitesi,İngilizce,Yüksek Lisans,Savunma ve Savunma Teknolojileri = Defense and Defense Technologies
112559,ESRA SATIROĞLU,2001,Mining user access patterns and identity information from web logs for effective personalization,İhsan Doğramacı Bilkent Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
112183,MEHMET AYDIN ULAŞ,2001,Market basket analysis for data mining,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
93044,MELİHA YETİŞGEN,2000,Data mining using queny flocks with views,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
83826,MEHMET SEVAL KAYGULU,1999,Supervised and unsupervised learning techniques in data mining,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
883838,SELÇUK KURT,2024,Meteorolojik ölçüm verilerinin regresyon yaklaşımı ile modellenmesinde veri madenciliği aşamaları ve kullanımı,Muğla Sıtkı Koçman Üniversitesi,Türkçe,Yüksek Lisans,Meteoroloji = Meteorology
881735,AYŞEGÜL BOZDAĞ KASAP,2024,Yüksek riskli sınavlarda başarıyla ilişkili değişkenlerin veri madenciliği yöntemleriyle incelenmesi,Gazi Üniversitesi,Türkçe,Doktora,Eğitim ve Öğretim = Education and Training
888993,MURAT ÇETİN,2024,Sağlık işletmelerinde veri madenciliği uygulamaları,Erzincan Binali Yıldırım Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
875714,TUĞBA TÜLEGEN,2024,Finansal raporlamada hile riskinin tespit edilmesinde veri madenciliğinin etkinliği,Tokat Gaziosmanpaşa Üniversitesi,Türkçe,Doktora,İşletme = Business Administration
889641,SERHAT YILMAZ,2024,Betonarme ve yığma yapılarda deprem kaynaklı gözlemsel harsar tespit ve süreçte veri madenciliği,İzmir Demokrasi Üniversitesi,Türkçe,Yüksek Lisans,İnşaat Mühendisliği = Civil Engineering
894445,BARIŞ ŞAYBAK,2024,PISA 2022 Türkiye örnekleminde bilgi ve iletişim teknolojisi kaynakları kullanımının okuma performansını yordama durumunun veri madenciliği teknikleriyle incelenmesi,Bursa Uludağ Üniversitesi,Türkçe,Yüksek Lisans,Eğitim ve Öğretim = Education and Training
895044,MELEK ERTUĞ YILDIRIM,2024,Kocaeli Akçaray ulaşım sisteminin bakım ve onarım süreçlerinin veri madenciliği ile analizi,Kocaeli Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
896276,SABAHATTİN NUR,2024,Sermaye piyasalarında veri madenciliği uygulamaları: Borsa İstanbul örneği,İskenderun Teknik Üniversitesi,Türkçe,Yüksek Lisans,Ekonomi = Economics
897666,İBRAHİM KARAASLAN,2024,İmar uygulamalarında veri madenciliği tabanlı yöntemlerin kullanılması,Kayseri Üniversitesi,Türkçe,Yüksek Lisans,Mühendislik Bilimleri = Engineering Sciences
899661,HAFİZE ŞENYIL,2024,Müşteri ilişkileri yönetimde veri madenciliği: Bir bankanın kredi müşterilerine yönelik uygulama,Konya Gıda ve Tarım Üniversitesi,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
900651,SEFA BAYRAKTAR,2024,Veri madenciliği yöntemleri ile bilgi merkezi verilerinden bilgi keşfi,Burdur Mehmet Akif Ersoy Üniversitesi,Türkçe,Yüksek Lisans,Bilgi ve Belge Yönetimi = Information and Records Management ; Yönetim Bilişim Sistemleri = Management Information Systems
892377,MERVE YENEN,2024,Veri madenciliği kullanarak ache enzimiyle etkileşen moleküllerin bağlanma eğiliminin tahmini,Necmettin Erbakan Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
902589,SABAHATTİN MERT BERKMEN,2024,Akaryakıt sektöründe işlem anormalliklerinin veri madenciliği yöntemleri ile sınıflandırılması,İSTANBUL BEYKENT ÜNİVERSİTESİ,Türkçe,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
904671,FATMA DİDEM ALAY,2024,Fotovoltaik enerji sistemleri için öngörü modellerinin geliştirilmesi: Veri madenciliği ve derin öğrenme yaklaşımları,Harran Üniversitesi,Türkçe,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering
906013,PINAR KARABAKLA,2024,EEG sinyallerinin veri madenciliği teknikleriyle değerlendirilmesi,Gazi Üniversitesi,Türkçe,Yüksek Lisans,Eğitim ve Öğretim = Education and Training
906031,SELMA TOSUN,2024,Açıköğretim öğrencilerinin okul terkine etki eden faktörlerin veri madenciliği ile keşfi,Gazi Üniversitesi,Türkçe,Doktora,Eğitim ve Öğretim = Education and Training
